id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
376,acutret 10 capsule,Trato 10mg Soft Gelatin Capsule,Isoden 10mg Soft Gelatin Capsule,Adclin 10mg Soft Gelatin Capsule,Isoway 10 Soft Gelatin Capsule,Mavtron 10mg Soft Gelatin Capsule,Dry skin,Increased liver enzymes,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Retinoid,No,DERMA,Retinoids- First generation,"Acutret 10 Capsule 10's contains 'isotretinoin', a form of vitamin A that works by reducing sebum (skin's natural oil) production on the skin's surface by decreasing the activity and size of sebaceous glands. Thereby unblocks pores and kills acne-causing bacteria."
377,acnedap gel,Acnesone Gel,Acnewar Gel,Pustulex Gel,,,Oily skin,Skin peeling,Dry skin,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,Sulfone & sulfonamides derivative,No,ANTI INFECTIVES,Anti leprotic,"ACNEDAP GEL contains Dapsone which belongs to the group of medicines called Sulfone antibiotics. It is used in the treatment of acne vulgaris (a skin condition that occurs when the hair follicles are blocked with dead skin cells, bacteria and sebum).6 Dec 2022"
378,amoxycillin 125mg oral suspension,SYMOXYL ORAL SUSPENSION,Zymox Premix 125mg Oral Suspension,Moxvid Dry Syrup,Opimox Dry Syrup,Novamox Oral Suspension,Allergy,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Peptic ulcer disease,Treatment of Bacterial infections,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin,"Amoxicillin 125mg/5ml Powder for Oral Suspension Sugar Free contains Amoxicillin Trihydrate BP equivalent to Amoxicillin BP 125mg. For the full list of excipients, see section 6.1. Pale yellow powder for reconstitution as suspension."
379,advanced lcf kid expectorant,T Kuff Syrup,Kofide Syrup,C C Gesic Plus Syrup,Wifi-S Syrup Sugar Free,Respicure Syrup,Nausea,Diarrhea,Vomiting,Dizziness,Headache,Rash,Tremors,Increased heart rate,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,Bloating,Indigestion,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,,"Advanced LCF Kid Expectorant: View Uses, Side Effects ... - 1mg"
380,amitryn 10 tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants,"Amitryn 10 Tablet contains Amitriptyline, a tricyclic antidepressant. It has anticholinergic and sedative properties. It prevents the reuptake, and hence the inactivation of neurotransmitters called noradrenaline and serotonin, that are present at the nerve terminals in our brain.29 Nov 2023"
381,amtas-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amtas-AT Tablet is a combination medicine that contains two active ingredients, Amlodipine and Atenolol. Both of the medicines in this combination work to lower blood pressure but in different ways.19 Feb 2024"
382,accentrix solution for injection,,,,,,Conjunctival hemorrhage,Eye pain,Eye floaters,Increased intraocular pressure,Eye inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetic eye disease, Wet age-related macular degeneration, Macular edema due to retinal vein occlusion,,,Monoclonal antibody (mAb),No,OPHTHAL,Vascular endothelial growth factor (VEGF) inhibitor for AMD,One mL contains 10 mg ranibizumab. Each vial contains 2.3 mg of ranibizumab in 0.23 mL solution. Ranibizumab is a humanized monoclonal antibody fragment produced in Escherichia coli cells by recombinant DNA technology.
383,arpizol 10 tablet,Aripiren 10mg Tablet,Ripramat 10 Tablet,Rizotal 10mg Tablet,Arip MT 10 Tablet,Ariday 10 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision,Constipation,Dizziness,Fatigue,Headache,Increased saliva production,Indigestion,Insomnia (difficulty in sleeping),Nausea,Parkinsonism,Restlessness,Sleepiness,Tremors,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Mania,,,,Dihydrocarbostyril Drivative,No,NEURO CNS,Atypical Antipsychotics,"Arpizol 10 Tablet 10's contains Aripiprazole which stabilizes and blocks the dopamine and serotonin receptors in the brain, preventing its overactivity, thereby controlling the positive symptoms like hallucinations, misbelief, and unfriendly characteristics of schizophrenia."
384,alkasol oral solution,Uridol Oral Solution,,,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout,"Alkasol Oral Solution 450 ml contains disodium hydrogen citrate, which metabolises to bicarbonate and increases the excretion of free bicarbonate ions; this increases the solubility of cysteine in the urine and ionises uric acid to soluble urate ion."
385,aldactone 100 tablet,Lactone 100mg Tablet,SPILACTONE 100 MG TABLET,Silectone 100 Tablet,Edeflow 100 Tablet,Cglactone 100mg Tablet,Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Edema, Low potassium, Heart failure,,Potassium sparing diuretics,No,CARDIAC,Potassium- sparing Diuretics,"Aldactone 100 Tablet 15's contains 'Spironolactone', which acts as a short-acting diuretic (water pill) prescribed for the treatment of resistant oedema (fluid overload) associated with pulmonary hypertension (high blood pressure in the lungs), heart failure, and hepatic cirrhosis (chronic liver damage)."
386,aztogold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion,Bruise,Nosebleeds,Gastrointestinal bleeding,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prevention of Heart attack,,,,,,No,CARDIAC,,"Aztogold 20 Capsule is a combination of three medicines: Aspirin / Acetylsalicylic acid, Atorvastatin and Clopidogrel. Aspirin and Clopidogrel are antiplatelet medicines. They work by preventing the platelets from sticking together and decrease the formation of harmful blood clots.16 Jan 2024"
387,addna tablet,Acusalt 1gm Tablet,,,,,Nausea,Vomiting,Stomach pain,Peripheral edema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Short term fluid replacement after trauma,,,,,Alkali Metal Chlorides,No,RESPIRATORY,Crystalloids,"Addna Tablet contains sodium and chloride ions, which are essential electrolytes for various bodily functions. Sodium regulates water distribution and fluid balance, while chloride is important for maintaining acid-base balance. This tablet helps replenish these electrolytes when they are deficient.6 Jan 2024"
388,amtas-m 50 tablet pr,Gudpres-AM 50 Tablet PR,Protol-AM Tablet PR,Amlodac M Tablet PR,Amlopin-M Tablet PR,Amlovas XM  5/50 Tablet PR,Nausea,Slow heart rate,Abdominal pain,Dizziness,Fatigue,Sleepiness,Ankle swelling,Constipation,Edema (swelling),"Flushing (sense of warmth in the face, ears, neck and trunk)",Palpitations,Headache,Vomiting,Visual disturbance,Orthostatic hypotension (sudden lowering of blood pressure on standing),Breathlessness,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amtas-M 50 Tablet 15's is a fixed-dose combination composed of two medicines, namely: Amlodipine and Metoprolol. Amlodipine is a calcium channel blocker while Metoprolol belongs to a group of medicines called beta-blockers."
389,akilos-p tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Akilos-P Tablet is a combination of two medicines: Aceclofenac and Paracetamol. These medicines work by blocking the action of chemical messengers responsible for pain, fever and inflammation (redness and swelling).31 Jan 2024"
390,avas cv 10 capsule,Lipikind CV 10mg/75mg Capsule,Starclop-AV 10 Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion,Constipation,Headache,Dizziness,Muscle pain,Weakness,Increased glucose level in blood,Increased liver enzymes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Heart attack prevention and high cholesterol,,,,,,No,CARDIAC,,"Avas CV 10 Capsule is a combination of two medicines: Atorvastatin and Clopidogrel, which prevents heart attack and stroke.19 Feb 2024"
391,actilyse 50mg injection,,,,,,Bleeding,Nausea,Vomiting,Confusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart attack,Treatment of Ischemic stroke,Treatment of Pulmonary embolism,,,Carboxylic Acids Derivatives,No,CARDIAC,Plasminogen Activators- Thrombolytics,"Actilyse 50mg injection contains an active component as Alteplase. It is also known as recombinant tissue plasminogen activator (rt-PA), used to treat certain medical conditions involving blood clots. It is a thrombolytic agent, meaning it helps to break down blood clots.6 Jan 2024"
392,acceclowoc-sp tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Acceclowoc SP tablet contains aceclofenac, paracetamol, and serratiopeptidase as active substances. Aceclofenac and paracetamol are non-steroidal anti-inflammatory medicines (NSAIDs) that block the action of a chemical called cyclooxygenase.26 Oct 2023"
393,amodep at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amodep AT tablet contains a combination of amlodipine and atenolol as active substances. It lowers the blood pressure, heart rate and contractility of heart muscles. Patients with kidney and liver function problems and the elderly should be very cautious while taking this medicine.1 Oct 2023"
394,amlopres at 25 tablet,Betacard-AM 5mg/25mg Tablet,DavaIndia Amlodipine+Atenolol 5mg/25mg Tablet,Numlo-AT 5mg/25mg Tablet,Amlokos AT 5mg/25mg Tablet,Dipinol 5 mg/25 mg Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,Amlopres AT 25 Tablet 15's contains Amlodipine (a calcium channel blocker) and Atenolol (a beta-blocker). Amlodipine acts by relaxing and widening the constricted blood vessels. This ultimately reduces the heart's workload and makes the heart more efficient at pumping blood throughout the body.
395,acular ls ophthalmic solution,Ketsenz Eye Drop,Ketorocin-LS Eye Drop,Ketsenz LS Eye Drop,,,Burning sensation,Stinging sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Post-operative eye pain and inflammation,,,,,Acetic acid Derivatives,No,OPHTHAL,NSAID's- Non-Selective COX 1&2 Inhibitors (acetic acid),ACULAR LS™ (ketorolac tromethamine ophthalmic solution) 0.4% is a member of the pyrrolo-pyrrole group of nonsteroidal anti-inflammatory drugs (NSAIDs) for ophthalmic use. Contains: Active: ketorolac tromethamine 0.4%. Preservative: benzalkonium chloride 0.006%.
396,anxipan capsule,,,,,,Nausea,Diarrhea,Constipation,Stomach pain,Flatulence,Weight gain,Sedation,Difficulty in urination,Orthostatic hypotension (sudden lowering of blood pressure on standing),Blurred vision,Slow heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acidity, Heartburn, Anxiety,,,,No,NEURO CNS,,Anxipan Capsule is a combination of two medicines: Amitriptyline and Pantoprazole which treat gastroesophageal reflux disease (GERD) associated with anxiety. Amitriptyline is a tricyclic antidepressant which increases the levels of chemical messengers in the brain that help in regulating the mood and treat depression.17 Jan 2024
397,advent 91.4mg drops tangy orange,Slox Oral Drops,Doloxy CV Oral Drops,Clavmox Oral Drops,Garclav Oral Drops,Senclav Oral Drops,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,Advent 91.4mg Drops Tangy Orange - IndiMedo Pharmacy
398,azee xl 200mg dry syrup peppermint,Azitru 200mg/5ml Dry Syrup,Zithromin 200mg Dry Syrup,Azenas 200mg/5ml Dry Syrup,Aziclub 200mg Dry Syrup,Azithron 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,Azee XL 200mg Dry Syrup Peppermint - 1mg
399,abevia 100 capsule,Broncocet ACB Capsule,Broncofil 100mg Capsule,Bronet 100mg Capsule,Axeldox 100 Capsule,Ambrodil-XP Capsule,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives,"Abevia 100 Capsule comprises of theophylline-7 acetate and ambroxol which makes it effective in making the mucus more fluid and clearing the airways easily, thereby making breathing easier. This effect of Abevia 100 Capsule works as an added advantage over theophylline.29 Nov 2023"
400,alex oral drops orange,Tricold Oral Drops,Cinaryl-AF Oral Drops,Alerfri AF Oral Drops,Entimin Oral Drops,Joecold Oral Drops,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,,"Alex Oral Drops Orange: View Uses, Side Effects, Price and ... - 1mg"
401,amoxyclav ds syrup,Cynoclav DS Syrup,Satclav DS Syrup,Amoclave  DS  Syrup,Semox CV Forte Syrup,Moxifide Duo Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,"Amoxyclav DS Syrup comprises two active ingredients, amoxycillin and clavulanic acid. While clavulanic acid stops the enzyme from rendering amoxycillin ineffective, amoxycillin works towards killing the tuberculosis-causing bacteria.29 Nov 2023"
402,alcoliv tablet,METBAX TABLET,Alcofast 500mg Tablet,Livodox 500mg Tablet,Metadoxil 500mg Tablet,Aeroliv M 500mg Tablet,Nausea,Upset stomach,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Alcoholic fatty liver disease,,,,,,No,NEURO CNS,Hepatoprotectives,"ALCOLIV 500MG TABLET contains Metadoxine, which belongs to a group of medicines called Alcohol Deterrents. ALCOLIV 500MG TABLET is used in the management of alcohol intoxication, which occurs as a disturbance in behaviour/mental function during or after alcohol consumption in affected individuals.17 Feb 2024"
403,anosum cream,Sucross Ano Cream,Elfate-LM Rectal Cream,Pileclear S Cream,Surect Cream,Softee Cream,Burning sensation,Tingling,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anal fissure,,,,,,No,CARDIAC,,"Anosum Cream is a combination of three medicines: Lidocaine, Metronidazole and sucralfate. Lidocaine is a local anesthetic. It works by blocking pain signals from the nerves to the brain which decreases pain sensation.29 Nov 2023"
404,amlovas-m 5/50 tablet pr,Metoder XL-AM Tablet PR,Gudpres-AM 50 Tablet PR,Amlodac M Tablet PR,Amlopin-M Tablet PR,Amlovas XM  5/50 Tablet PR,Nausea,Slow heart rate,Abdominal pain,Dizziness,Fatigue,Sleepiness,Ankle swelling,Constipation,Edema (swelling),"Flushing (sense of warmth in the face, ears, neck and trunk)",Palpitations,Headache,Vomiting,Visual disturbance,Orthostatic hypotension (sudden lowering of blood pressure on standing),Breathlessness,Muscle cramp,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amlovas M 5/50 Tablet 10's is a fixed-dose combination composed of two medicines, namely: Amlodipine and Metoprolol. Amlodipine is a calcium channel blocker while Metoprolol belongs to a group of medicines called beta-blockers."
405,alkamax mb alkamax mb6 oral solution,Urocitra-M B6 Oral Solution Sugar Free Lemon,Lizerton B6 Oral Solution Orange Sugar Free,K Mac B6  Oral Solution,Noculi B6 Oral Solution,Potron MB6 Oral Solution Delicious Pineapple Sugar Free,Diarrhea,Nausea,Vomiting,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Kidney stone,,,,,,No,UROLOGY,,"Alkamax MB6 Oral Solution Mango Sugar Free is a combination of three medicines: Potassium Citrate, Magnesium Citrate and Vitamin B6 (Pyridoxine) which prevent kidney stones."
406,amlosafe tm 40 tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Amlopres TL Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Tiredness,Palpitations,Upset stomach,Increased potassium level in blood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,Amlosafe TM 40 Tablet is a combination of two medicines: Telmisartan and Amlodipine. Telmisartan is an angiotensin receptor blocker (ARB) and Amlodipine is a calcium channel blocker (CCB). They work by relaxing the blood vessels and making the heart more efficient at pumping blood throughout the body.29 Nov 2023
407,apetamin syrup,Add App 2mg/5ml Syrup,Toractin 2mg/5ml Syrup,Apetiz Syrup,Apeton 2mg/5ml Syrup,Cipron Syrup,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Allergic conditions, Appetite stimulant,,,,Dibenzocycloheptenes Derivative,No,VITAMINS MINERALS NUTRIENTS,H1 Antihistaminics (First Generation),"According to manufacturing labels, 1 teaspoon (5 ml) of Apetamin syrup contains:Cyproheptadine hydrochloride: 2 mg.L-lysine hydrochloride: 150 mg.Pyridoxine (vitamin B6) hydrochloride: 1 mg.Thiamine (vitamin B1) hydrochloride: 2 mg.Nicotinamide (vitamin B3): 15 mg."
408,aceflam p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Aceflam P 100mg/325mg Tablet is a combination of two medicines: Aceclofenac and Paracetamol. These medicines work by blocking the action of chemical messengers responsible for pain, fever and inflammation (redness and swelling).29 Nov 2023"
