id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
5212,amloten 5 mg/50 mg tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,
5213,acroli forte ointment,Tacmod Forte Ointment,Imograf Forte Ointment,Tacroz Forte XL Ointment,Tacvido Forte Ointment,Eczrid Forte Ointment,"Application site reactions (burning, irritation, itching and redness)",Diarrhea,Increased glucose level in blood,Increased thirst,Kidney damage,Liver damage,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,,,,,Macrolide Lactams,No,ANTI NEOPLASTICS,Immunosuppressant- Calcineurin inhibitors
5214,albiomin 20% infusion,Buminate 20% Infusion,Cealb 20% Infusion,Alba 20% Infusion,Buminate Infusion,Verbumin Infusion,Vomiting,"Flushing (sense of warmth in the face, ears, neck and trunk)",Fever,Nausea,Chills,Hives,Slow heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Short term fluid replacement after trauma,,,,,"Amino Acids, Peptides, and Analogues",No,BLOOD RELATED,Colloids (Plasma substitutes)
5215,aroximat plus 12.5mg/0.5mg tablet cr,Oxitin Plus 12.5mg/0.5mg Tablet CR,Patroxta Plus 12.5 Tablet CR,Paro CR Plus Tablet,Paxi-CR Plus Tablet,Pexibrus Plus 12.5 Tablet IR,Nausea,Vomiting,Diarrhea,Confusion,Memory impairment,Uncoordinated body movements,Drowsiness,Tiredness,Anorgasmia (decreased orgasm),Low sexual desire,Delayed ejaculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Depression,,,,,,Yes,NEURO CNS,
5216,alfucal 10mg tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Efzu Tablet PR,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,No,UROLOGY,Uroselective adrenergic receptor(α1a) antagonist
5217,aceplee-sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5218,aceplee-sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5219,ampitrust 375 tablet,Sultaluk 375mg Tablet,Sulact 375mg Tablet,Sultascan 375mg Tablet,Toslin 375mg Tablet,Oxitum 375mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,Penicillin,No,ANTI INFECTIVES,Ampicillin & Sulbactam ester compound
5220,arpin 25mg tablet,Exodep 25mg Tablet,Elate 25mg Tablet,DO RE ME 25mg Tablet,Gazopin 25mg Tablet,Betadoth 25mg Tablet,Dryness in mouth,Increased heart rate,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Difficulty in urination,Constipation,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety disorder,"Treatment of $name is thought to work by affecting the balance of certain chemicals (such as serotonin) in the brain. It helps improve mood and feelings of wellbeing, relieves anxiety and tension, helps you sleep better, and increases your energy level. It is used to treat depression that is unresponsive to other medicines. You need to take it regularly as it is prescribed for it to be most effective and should not stop taking it suddenly. Depression",,,,Dibenzoxepin Derivative,No,NEURO CNS,Tricyclic antidepressants
5221,alto sp tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Petace S 100mg/500mg/15mg Tablet,Starnac Plus 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5222,azox p 0.25mg/10mg tablet,Anzal Plus -H 0.25mg/10mg Tablet,Tensyn AZ M 0.25 mg/10 mg Tablet,Biozolam Plus 0.25 mg/10 mg Tablet,Zepro 0.25mg/10mg Tablet,Tencalm LD LD Tablet,Confusion,Drowsiness,Memory impairment,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmares,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Anxiety disorder,,,,,,Yes,NEURO CNS,
5223,atortin 10mg tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
5224,azigood 500mg tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Azee 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5225,acedo plus 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5226,aerosol 1.53gm syrup,Cytrila Syrup,Alkadium Syrup,Citrador Syrup,Turiflo Syrup,Alkagod 1.53gm Syrup,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout
5227,alvikoff dx syrup,Arnikof D Syrup,Tucin D Syrup,Akof-D Syrup Sugar Free,Cufflin Syrup,Kolkoff Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
5228,acepil th 100mg/4mg tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Thichoren AC 4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
5229,acetar plus 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5230,allercet ax 5mg/60mg tablet,Amcold 5 mg/60 mg Tablet,Taurcet A 5 mg/60 mg Tablet,Alfree Plus 5mg/60mg Tablet,Intazin AM 5 mg/60 mg Tablet,Alertac-A Tablet,Upset stomach,Dryness in mouth,Fatigue,Dizziness,Sedation,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough,,,,,,No,RESPIRATORY,
5231,advog m 0.3 tablet sr,Voglital M 0.3 Tablet SR,Vogs-M 0.3 Tablet SR,Voglibite-M 0.3 Tablet SR,Megavog MF 0.3/500 Tablet SR,Starvog M 0.3 Tablet SR,Flatulence,Diarrhea,Bloating,Abdominal pain,Vomiting,Decreased appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,
5232,activa p tablet,Easypanvin Tablet,Reactin PM Tablet,Donac Plus  Tablet,Dicloss P Tablet,Gipafenic Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Heartburn,Diarrhea,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5233,acin p 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5234,asr p 50mg/500mg tablet,Paranac Plus 50mg/500mg Tablet,Acred Plus 50mg/500mg Tablet,Zacpar 50mg/500mg Tablet,,,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5235,asicold plus 10mg/500mg/30mg tablet,Gripcold Plus 10mg/500mg/30mg Tablet,Trizine Plus Tablet,Trezix Plus Tablet,CT Cold Tablet,Cinzim Tablet,Nausea,Stomach irritation,Dryness in mouth,Fatigue,Dizziness,Sleepiness,Allergic reaction,Nervousness,Insomnia (difficulty in sleeping),Restlessness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,
5236,acezit-mr tablet,Acimol MR 100mg/325mg/250mg Tablet,Actines MR 100mg/325mg/250mg Tablet,Liberache MR 100mg/325mg/250mg Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
5237,amfil cream,Amrosys Cream,Amrolstar Cream,Amrolstar Cream,Amrosys Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation,Skin rash,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal nail infections,,,,,Phenylpropanes derivatives,No,DERMA,Antifungal Others
5238,actimarin forte tablet,Tyrin-Forte 140mg/300mg Tablet,Urdohep SL 140 mg/300 mg Tablet,Udisil Tablet,Ursodox Plus Tablet,Udiplus Tablet,Diarrhea,Sticky stools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Liver  disease,,,,,,No,GASTRO INTESTINAL,
5239,ace cold 2mg/5mg tablet,Entimin 2 mg/5 mg Tablet,Colfin 2mg/5mg Tablet,Coriminic QR 2 mg/5 mg Tablet,Fluoff Tablet,,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,
5240,acnerus i 20 soft gelatin capsule,Finetret Soft Gelatin Capsule,Zipac 20mg Soft Gelatin Capsule,Zenitoin 20 Soft Gelatin Capsule,Resoten 20 Capsule,Isoshed 20mg Soft Gelatin Capsule,Dry skin,Increased liver enzymes,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,Retinoid,No,DERMA,Retinoids- First generation
5241,amlovin 5mg tablet,StayHappi Amlodipine 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
5242,aroget syrup,Nidkof-A Syrup,Pufdryl A Syrup,Terboxol Syrup,Asracof AM Syrup,Nopuff-A Syrup,Nausea,Diarrhea,Vomiting,Dizziness,Headache,Rash,Tremors,Increased heart rate,Upper abdominal pain,Urticaria,Itching,Sweating,Changes in serum aminotransferase levels,Bloating,Indigestion,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,
5243,amfocare 50mg injection,Neotericin 50mg Injection,Amfocan 50mg Injection,Amtericin 50mg Injection,Fungitericin Injection,Mycoflu Injection,"Injection site reactions (pain, swelling, redness)",Nausea,Vomiting,Chills,Headache,Anemia (low number of red blood cells),Decreased potassium level in blood,Abnormal liver function tests,Decreased magnesium level in blood,Diarrhea,Decreased appetite,Hypotension (low blood pressure),Skin rash,Nephrocalcinosis,Increased creatinine level in blood,Abnormal renal function tests,Renal tubular acidosis,,,,,,,,,,,,,,,,,,,,,,,,,, Severe fungal infections, Kala-azar,,,,Aminoglycosides {Polyenes},No,ANTI INFECTIVES,Fungal cell membrane active agent
5244,alo cef 200mg/200mg tablet,Hifen Plus 200 mg/200 mg Tablet,Omcef 200 Tablet,Mahacef-Plus Tablet,Zenflox-Plus 200 Tablet,Cefiwok O  Tablet,Insomnia (difficulty in sleeping),Dizziness,Headache,Hypersensitivity,Hypereosinophilia,Agranulocytosis (deficiency of granulocytes in the blood),Decreased white blood cell count (lymphocytes),Decreased white blood cell count (neutrophils),Granulocytopenia,Hemolytic anemia,Low blood platelets,Thrombocytosis,Gastrointestinal disturbance,Increased liver enzymes,Increased bilirubin in the blood,Increased blood urea,Pseudomembranous colitis,Jaundice,Acute renal failure,Breathlessness,Seizure,Inflammation of tendons,Tendon rupture,Serum sickness,Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome,Itching,Rash,Drug fever,Joint pain,Erythema multiforme,Stevens-Johnson syndrome,Toxic epidermal necrolysis,Paresthesia (tingling or pricking sensation),Psychotic disorder,Visual disturbance,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
5245,apgesic-s tablet,Mogesic MR Tablet,Inflacure MR 500mg/50mg/500mg Tablet,Redugesic MR Forte Tablet,Diplodac MR Tablet,Zoxaid Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
5246,ab cort 6mg tablet,Zefcort 6 Tablet,Sterozit 6mg Tablet,Mahacort DZ 6 Tablet,Ronicort 6mg Tablet,Flacort 6mg Tablet,Increased appetite,Weight gain,Frequent urge to urinate,Cushing syndrome,Cough,Upper respiratory tract infection,Abnormal hair growth,Obesity,Nasopharyngitis (inflammation of the throat and nasal passages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Inflammatory conditions,Treatment of Autoimmune conditions,Treatment of Cancer,,,"Gluco/mineralocorticoids, progestogins and derivatives",No,HORMONES,Glucocorticoids
5247,acelox 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5248,acnicort gel,Clinsol Gel,Acnetoin Gel,Clintok N Gel,Acnesol-NC Gel,Clindwin Gel,Skin peeling,Dry skin,Erythema (skin redness),Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,
5249,apazine plus tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5250,acefan th 4mg/100mg/325mg tablet,Thioford AP Tablet,Bakwel-AP Tablet,Fense TH Tablet,Anaflam TH  4  Tablet,Thio-Seradic Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Dryness in mouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
5251,ablin-n tablet,Quicnac AB Tablet,Oxydex Tablet,Pulmotol Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,No,RESPIRATORY,
5252,auromide plus eye drop,Neotrop Plus Eye Drop,Troplus Eye Drop,Dilate Plus Eye Drop,TM Plus Eye Drop,Biodyle TP Eye Drop,Eye pain,Stinging in the eyes,Blurred vision,Photophobia,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Eye examination,,,,,,No,OPHTHAL,
5253,audi 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5254,acesic-t4 tablet,Micronac TC 100mg/4mg Tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Nausea,Vomiting,Heartburn,Stomach pain/epigastric pain,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Pain due to muscle spasm,,,,,,No,PAIN ANALGESICS,
5255,azibit 500 tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Azee 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5256,axepine 2mg tablet md,,,,,,Akathisia (inability to stay still),Anxiety,Blurred vision,Constipation,Dizziness,Fatigue,Headache,Increased saliva production,Indigestion,Insomnia (difficulty in sleeping),Nausea,Parkinsonism,Restlessness,Sleepiness,Tremors,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,, Schizophrenia, Mania,,,,Dihydrocarbostyril Drivative,No,NEURO CNS,Atypical Antipsychotics
5257,arpimune-o 100mg capsule,NEORAL 100MG CAPSULE,DavaIndia Ciclosporin 100mg Capsule,C Psorin 100mg Capsule,Imusporin 100 Capsule,Panimun Bioral 100mg Capsule,Headache,Nausea,Vomiting,Increased hair growth,High blood pressure,Renal dysfunction,Loss of appetite,Diarrhea,Tremors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients, Rheumatoid arthritis, Psoriasis,,,Cyclosporin Derivative,No,OPHTHAL,Immunosuppressant- Calcineurin inhibitors
5258,angitor 10mg tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,Atorlip 10 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
5259,aztel mt 40mg/50mg tablet,Timsart M 40mg/50mg Tablet,Zeoformin MS 40mg/50mg Tablet,M Let T 40mg/50mg Tablet,Telnyle M 40mg/50mg Tablet,Telinor MT 40mg/50mg Tablet,Headache,Weakness,Dizziness,Cold extremities,Slow heart rate,Increased potassium level in blood,Numbness of extremity,Decreased blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,
5260,ascam d syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,
5261,alkarate liquid sugar free,Alkel Liquid,Citralite Liquid,Alkel Liquid,,,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout
5262,aceprime-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
5263,alproxen 200mg tablet,Oflotas 200mg Tablet,Olox 200mg Tablet,Oflamed 200 Tablet,Oxa 200mg Tablet,Zenflox 200 Tablet,Nausea,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Fluoroquinolone,No,ANTI INFECTIVES,Quinolones/ Fluroquinolones
5264,azilin 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5265,aziford syrup,Nazi Syrup,,,,,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5266,azifast 200mg readymix syrup,Azitex 200mg Syrup,TMS Syrup,Azigro 200mg Syrup,Aszith 200mg Syrup,Azimylin 200mg Syrup,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5267,amlot 5mg tablet,StayHappi Amlodipine 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
5268,azilin 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5269,alproxen 200mg tablet,Oflotas 200mg Tablet,Olox 200mg Tablet,Oflamed 200 Tablet,Oxa 200mg Tablet,Zenflox 200 Tablet,Nausea,Headache,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Fluoroquinolone,No,ANTI INFECTIVES,Quinolones/ Fluroquinolones
5270,aziford syrup,Nazi Syrup,,,,,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5271,appavisc injection,Hyprosol Injection,Viscomet Kit Injection,Viscomet PF Injection,Intavisc Injection,Yavisc Injection,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry eyes,,,,,Polysaccharide derivatives,No,OPHTHAL,Tear substitues
5272,aziser 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
5273,anxit 1mg tablet sr,Ansilumirm 1mg Tablet SR,Alpramax 1mg Tablet SR,Zolipax 1mg Tablet SR,Zolam 1mg Tablet SR,Alzy 1mg Tablet SR,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
5274,afdiloc 300mg tablet,Gertac 300mg Tablet,Rancer 300mg Tablet,Zynol 300mg Tablet,Rdin 300mg Tablet,H2Loc 300mg Tablet,Headache,Diarrhea,Gastrointestinal disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gastroesophageal reflux disease (Acid reflux),Treatment of Peptic ulcer disease,,,,Aralkylamines Derivative,No,GASTRO INTESTINAL,H2 Receptor Blocker
